Unnamed: 0,#CASE,DOF_PITCH_BC_,DOF_BETA1_GEOM_,DOF_BETA2_GEOM_,DOF_W1_GEOM_,DOF_W2_GEOM_,DOF_TMOVXU_GEOM_,DOF_TMOVXL_GEOM_,OF_alfa_ex_OP_01,OF_Cpt_OP_01,OF_CSI_OP_01,OF_phi_OP_01,OF_psi_OP_01,OF_Zwi_OP_01,OF_Zwc_OP_01,OF_DFss_mis_OP_01,OF_DFss_cp_OP_01,OF_Mis_peak_OP_01,OF_s_peak_OP_01,OF_s_diff_dim_OP_01,OF_s_tot_SS_OP_01,OF_Tmax_OP_01,OF_X_Tmax_OP_01
39,801,0.1178377401,18.06641,-65.22461,0.01484375,0.6787109,-0.1325684,0.1565918,-62.005,0.02387,0.02228,0.586580623,1.20685998,1.069813995,1.022606693,1.2255,0.9508,0.4731,0.5344,0.07354,0.1579,0.0117652211,0.181660041
40,807,0.1161708738,10.56641,-68.97461,0.1148438,0.05371094,-0.08881836,0.1128418,-62.062,0.02382,0.02224,0.5850282559,1.206312532,1.054513912,1.007988284,1.2869,0.9388,0.4861,0.622,0.05811,0.1537,0.0120232012,0.201334953
41,853,0.08975993794,8.847656,-65.92773,0.1460937,0.4365234,0.1436035,0.006201172,-63.58,0.0267,0.02493,0.5445449869,1.192035947,0.7809802334,0.7466638111,1.1637,0.9641,0.4549,0.6783,0.04764,0.1481,0.0121946223,0.301499844
42,877,0.09963398951,7.910156,-68.58398,0.2085938,0.6396484,0.07250977,0.06635742,-63.285,0.02536,0.02367,0.5522861376,1.194765894,0.874157154,0.8357155668,1.2039,0.9559,0.4641,0.6846,0.04737,0.1502,0.0123206563,0.278375059
43,891,0.1095827515,17.28516,-68.27148,0.1335938,0.3583984,0.1709473,0.1429199,-62.408,0.02336,0.0218,0.5756564309,1.203007521,0.9852248794,0.9417972051,1.3344,0.9303,0.4943,0.5645,0.06527,0.1499,0.0123164253,0.345015049
44,899,0.09586258979,8.925781,-66.2793,0.02421875,0.1357422,-0.03549805,-0.1428223,-64.501,0.027,0.02521,0.5207490395,1.183644212,0.8105115694,0.7749929543,1.1487,0.9669,0.4536,0.6571,0.05304,0.1547,0.0122095775,0.185534969
45,941,0.1168160683,17.36328,-68.93555,0.01171875,0.08886719,0.002783203,0.07045898,-64.068,0.02373,0.02215,0.5318674051,1.187565147,0.9996902161,0.9558282661,1.301,0.9369,0.4857,0.5995,0.06321,0.1578,0.0122865848,0.242934912
46,951,0.09708895511,11.73828,-64.87305,0.08671875,0.2451172,0.1449707,-0.07172852,-62.468,0.02478,0.02313,0.5740401369,1.202437528,0.8723688002,0.8339202909,1.2162,0.9529,0.4695,0.5645,0.06448,0.148,0.012005372,0.287534922
47,985,0.1062629449,5.644531,-69.63867,0.1304687,0.8310547,0.09848633,-0.07993164,-65.932,0.02627,0.02453,0.4848355817,1.170979189,0.8565825693,0.819211593,1.1737,0.9623,0.4553,0.6496,0.05601,0.1598,0.0120883519,0.264859945
48,991,0.1044876359,3.144531,-65.88867,0.03046875,0.4560547,0.05473633,-0.1236816,-64.717,0.0264,0.02465,0.5152474653,1.18170406,0.8777915242,0.839350274,1.1495,0.9666,0.4546,0.607,0.06234,0.1586,0.0120709641,0.238639891
