#CASE,DOF_ALFAIN_BC_,DOF_PITCH_BC_,DOF_RE2IS_BC_,DOF_MA2IS_BC_,DOF_ARATIO_BC_,DOF_BETA1_G0_,DOF_BETA2_G0_,DOF_W1_G0_,DOF_W2_G0_,DOF_RTE_G1_,DOF_TMAXU_G1_,DOF_TMAXL_G1_,DOF_TMOVXU_G1_,DOF_TMOVXL_G1_,DOF_TUCP2_G2_,DOF_TUCP3_G2_,DOF_SUCP3_G2_,DOF_TUCP5_G2_,DOF_SUCP5_G2_,DOF_TLCP5_G2_,DOF_SLCP5_G2_,OF_alfa_ex_FL_OP_01,OF_Cpt_FL_OP_01,OF_CSI_FL_OP_01,OF_phi_FL_OP_01,OF_psi_FL_OP_01,OF_Zwc_FL_OP_01,OF_DFss_mis_LO_OP_01,OF_Ds_cp_LO_OP_01,OF_Tmax_GM_OP_01,OF_X_Tmax_GM_OP_01,OF_Wedge_TE_GM_OP_01,OF_UGT_GM_OP_01,OF_Area_GM_OP_01
224263,27.454,0.1095382345,109960.0,0.51157,1.205436,10.17479,-68.489499,0.5332825,0.4745407,0.001929134,0.0198622,0.005119953,0.1795429,0.05537453,0.4241666,0.83799,0.1955771,0.7251015,0.6460209,0.4921066,0.7346363,-64.792,0.11321,0.10316,0.6231340444,1.647494922,1.242719417,1.3562,2.1516,0.0223919041,0.433840007,21.23130266,34.4175339,0.00215194654
224264,21.673,0.09387982594,213620.0,0.66001,1.128092,15.018542,-74.34887,0.6707825,0.02141571,0.001665072,0.01458095,0.01961214,-0.1212383,-0.04853172,0.4335416,0.8439275,0.1337021,0.576664,0.7124271,0.5389816,0.7307301,-63.931,0.07458,0.06366,0.6072936136,1.482680084,0.8965888781,1.3257,2.1842,0.0305096619,0.197340041,22.09500124,34.7572784,0.0026295681
224266,21.399,0.06864596698,69760.0,0.55258,0.9997715,19.276352,-63.837154,0.1114075,0.08000946,0.001893587,0.005135635,0.01858675,0.1398945,-0.06083641,0.3405728,0.6465056,0.1604208,0.7387733,0.7231693,0.5053879,0.6965504,-61.132,0.07293,0.06517,0.7032274781,1.551155353,0.6403892847,1.141,0.9146,0.019776348,0.255999982,13.60323453,16.4384613,0.0017390186
224267,28.274,0.1312683874,172590.0,0.64633,0.9716465,3.65135,-70.524654,0.3614075,0.3925095,0.0009998375,0.02301064,0.013118,-0.1444805,0.09228859,0.3530728,0.9077556,0.1829208,0.5200233,0.6450443,0.3928879,0.6496754,-61.451,0.05215,0.04465,0.7691353472,1.827373227,1.193968616,1.5725,1.2453,0.0315846503,0.185534954,16.23895216,30.3218403,0.00280705397
224269,25.618,0.08563118708,217250.0,0.41977,1.147428,7.8701,-67.040274,0.5739075,0.06438446,0.0011014,0.01122939,0.004641438,0.1891132,-0.03349266,0.2874478,0.6524431,0.09854584,0.2622108,0.5630131,0.4460129,0.7473316,-61.409,0.0445,0.04158,0.7378389092,1.70759645,1.043148525,1.1687,0.7266,0.0128736077,0.350000054,4.23191583,23.1260452,0.00107864081
224271,27.806,0.0756163677,175560.0,0.52915,1.16149,13.8076,-62.946524,0.4489075,0.5956345,0.001954525,0.02504189,0.01612581,-0.01869926,0.1743198,0.4061978,0.7118181,0.1847958,0.4340858,0.5864506,0.5397629,0.5051441,-63.978,0.06477,0.05835,0.6574910321,1.693487385,0.8380826869,1.5103,1.4534,0.0350433066,0.278375119,18.0916481,15.4107943,0.00273364456
224278,29.759,0.1068044467,90390.0,0.6893,1.066568,6.69822,-63.188714,0.2551575,0.244072,0.001314681,0.02402626,0.01680941,0.1863789,0.04033546,0.2890103,0.9463493,0.1407333,0.4770546,0.7251225,0.4944504,0.7024097,-64.579,0.10867,0.09201,0.6526354244,1.746295785,0.986945477,1.389,1.9226,0.0369417481,0.345014989,31.9154492,21.7468014,0.00330719049
224280,24.427,0.09626913268,211260.0,0.71176,0.9567051,1.44432,-67.100821,0.753595,0.3397751,0.001164877,0.01676454,0.006658039,0.06538277,0.1107456,0.2979947,0.9277946,0.08424896,0.6420937,0.7119389,0.3878098,0.5632496,-61.598,0.06746,0.05612,0.7167849543,1.651110889,0.8048479715,1.3458,2.3712,0.0215902664,0.282939911,17.77520501,26.8994598,0.00195419509
224281,28.489,0.0833351289,229350.0,0.75864,1.027018,4.25682,-63.069571,0.528595,0.7460251,0.001043002,0.02570204,0.007204914,-0.01117973,0.1654331,0.4042447,0.6309196,0.08799896,0.5952187,0.5947514,0.4690598,0.5866871,-64.967,0.04877,0.03949,0.6255555653,1.678986946,0.6914399262,1.3156,2.4006,0.0279537775,0.292160064,18.90514466,15.6436386,0.0024120484
224283,22.708,0.06636275124,226520.0,0.40708,0.9918613,14.100567,-68.085201,0.541095,0.5429001,0.001957064,0.01473329,0.01130648,-0.02758598,-0.05878563,0.2886197,0.8743571,0.101124,0.4936562,0.6142826,0.3659348,0.6218433,-64.139,0.05665,0.05319,0.6080808451,1.508930988,0.586084764,1.1144,1.4024,0.0232610106,0.197339997,8.44365073,20.8599396,0.00182731461
